store_id,name,address,suburb,chain?,website_url,phone_number,lat,lng,apportioned_pop,pop_density_per_sqkm
STR_0081,Karabar Supabarn,Corner Cooma Road and,Karabar,False,,(02) 6297 8111,-35.371406,149.232058,28615.38437675498,1012.06
STR_0082,Coles Queanbeyan,Riverside Plaza,Queanbeyan,True,http://www.coles.com.au/find-stores/coles/nsw/queanbeyan-820,(02) 6124 3600,-35.3517191,149.2355911,28169.42993592321,996.29
STR_0083,PetO Tuggeranong,76 Athllon Dr,Greenway,True,https://peto.com.au/find-a-peto-store/tuggeranong,(02) 6293 6000,-35.4176864,149.0643877,21059.916129891335,744.84
STR_0084,Petbarn Tuggeranong,Unit 1/215 Scollay St,Greenway,True,https://www.petbarn.com.au/store-finder/tuggeranong?utm_content=local_seo,(02) 6293 9597,-35.422192,149.070012,23782.845391171195,841.15
STR_0085,Supa Express Gowrie,1 Jeffries St,Gowrie,False,https://www.supabarn.com.au/,,-35.4135355,149.1097153,38155.78168912434,1349.48
STR_0086,BIG W Tuggeranong,Anketell St &,Greenway,True,https://www.bigw.com.au/store/0168/big-w-tuggeranong?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=168,1300 411 875,-35.4148353,149.0667375,24426.193749196915,863.9
STR_0087,Coles Wanniassa,Neighbourhood Centre,Wanniassa,True,http://www.coles.com.au/find-stores/coles/act/wanniassa-4786,(02) 6284 0400,-35.3912889,149.0854722,35833.51441103571,1267.35
STR_0088,TK Maxx Tuggeranong,Anketell Street & Reed Street North South.Point,Greenway,True,https://www.tkmaxx.com.au/,(02) 6293 3818,-35.4167822,149.0665317,23092.385627355943,816.73
STR_0089,Kmart Tuggeranong,Hyperdome S/C Cnr Anketell And,Greenway,True,https://www.kmart.com.au/store-detail/Kmart+Tuggeranong?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=kmart+tuggeranong,(02) 6131 7200,-35.4168491,149.0680401,24170.59239348072,854.86
STR_0090,Target Tuggeranong,Pitman Street,Greenway,True,https://www.target.com.au/store/act/tuggeranong/5162?utm_source=Organic&utm_medium=GoogleBusinessProfiles&utm_campaign=Target-Tuggeranong&utm_content=WebsiteButton,(02) 6293 5200,-35.4164109,149.065361,22468.95359453438,794.68
STR_0091,KnottyTop Creative Joinery,73 Henry Melville Cres,Gilmore,False,http://www.knottytop.com/,0418 653 073,-35.4229252,149.1375714,17886.292855226686,632.6
STR_0092,Coles Chisholm,Shopping Centre,Chisholm,True,http://www.coles.com.au/find-stores/coles/act/chisholm-858,(02) 6298 5100,-35.4140475,149.1286803,22597.19051058446,799.21
STR_0093,Supaexpress,Unit 5/96 Pockett Ave,Banks,False,https://www.supabarn.com.au/stores/supaexpress-banks,(02) 6294 9988,-35.4723944,149.0955378,18044.750784351567,638.2
STR_0094,KUZU MART,17 Dundas Ct,Phillip,False,,0439 334 862,-35.3534154,149.0894937,37994.9789317929,1343.8
STR_0095,IGA X-Press Waramanga,Shop/1 Waramanga Pl,Waramanga,False,https://www.iga.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=IGA+X-Press+Waramanga&utm_term=plcid_17056208624770273767,(02) 6288 1557,-35.352449,149.059506,38455.50850164982,1360.09
STR_0096,The Chifley Grocer,SHOP 12 TO 14/20-22 Chifley Pl,Chifley,False,http://www.friendlygrocer.com.au/,(02) 6282 9255,-35.3525033,149.076082,40987.32101180339,1449.63
STR_0097,Woolworths Kambah,2 Primmer Ct,Kambah,True,https://www.woolworths.com.au/shop/storelocator/act-kambah-1194?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=woolworths_supermarkets_1194,(02) 6132 9831,-35.3801801,149.0572697,26178.52486932982,925.88
STR_0098,Comfy Pets,22 Rosenberg St,Throsby,False,https://www.comfy-pets.com/,0494 347 790,-35.1869696,149.164724,26685.77254231042,943.82
STR_0099,SupaBarn Express,5 Watson Pl,Watson,False,https://www.supabarn.com.au/,(02) 6255 6800,-35.2389866,149.1533702,25876.61601424298,915.2
STR_0100,Stella's By The Lake,1 Beissel St,Belconnen,False,http://stellasbythelake.com.au/,(02) 6105 9497,-35.2359368,149.0655079,46968.48482067378,1661.17
STR_0101,Coles Amaroo,Horse Park Dr,Amaroo,True,http://www.coles.com.au/find-stores/coles/act/amaroo-5784,(02) 6223 0500,-35.1645604,149.1320725,46768.68584316179,1654.1
STR_0102,Bunnings Gungahlin,10 Gribble St,Gungahlin,True,https://www.bunnings.com.au/stores/act/gungahlin?utm_source=google&utm_medium=places&utm_content=bunnings-gungahlin&utm_campaign=googleplaces,(02) 6123 0000,-35.1838713,149.1303139,56904.687534512035,2012.59
STR_0103,Kmart Gungahlin,33 Hibberson St,Gungahlin,True,https://www.kmart.com.au/store-detail/Kmart+Gungahlin?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=kmart+gungahlin,(02) 6123 2500,-35.1845072,149.1331491,55125.85148136725,1949.68
STR_0104,Canberra Reptile Zoo,O'Hanlon Pl,Nicholls,True,https://reptilesinc.com.au/,(02) 6253 8533,-35.1907366,149.0827015,30557.349172313145,1080.75
STR_0105,PetLink Solution,8 Edwin Oribin St,Taylor,False,,0424 339 538,-35.1474725,149.0973278,19159.985804526827,677.65
STR_0106,Supabarn Crace,56 Abena Ave,Crace,True,https://www.supabarn.com.au/,(02) 6162 0913,-35.2020605,149.1075757,31843.10158765325,1126.22
